Rank,Restaurant_Name,Address,Wepsite
1,Monteverde,1020 W. Madison St.,https://monteverdechicago.com
2,Oriole,661 W. Walnut St.,https://www.oriolechicago.com
3,Galit,2429 N. Lincoln Ave.,https://www.galitrestaurant.com
4,Avec,615 W. Randolph St. | 141 W. Erie St.,https://www.avecrestaurant.com
5,Kasama,1001 N. Winchester Ave.,https://www.kasamachicago.com
6,Virtue,1462 E. 53rd St.,https://www.virtuerestaurant.com
7,HaiSous Vietnamese Kitchen,1800 S. Carpenter St.,https://www.haisous.com
8,Shaw’s Crab House,21 E. Hubbard St.,https://www.shawscrabhouse.com/chicago-illinois
9,Dear Margaret,2965 N. Lincoln Ave,https://www.dearmargaretchi.com
10,Boka,1729 N. Halsted St.,https://www.bokachicago.com
11,Kyoten/Kyoten Next Door,"Kyoten, 2507 W. Armitage Ave.; Kyoten Next Door, 2513 W. Armitage Ave.",https://kyotenchicago.com
12,Hermosa Restaurant,4356 W. Armitage Ave.,https://www.hermosarestaurant.com
13,Warlord,3198 N. Milwaukee Ave.,https://warlordchicago.com
14,Elske,1350 W. Randolph St.,https://elskerestaurant.com
15,John’s Food & Wine,2114 N. Halsted St.,https://www.johnsfoodandwine.com
16,El Che Steakhouse & Bar,845 W. Washington Blvd.,https://www.elchechicago.com
17,Ever,1340 W. Fulton St.,https://www.ever-restaurant.com
18,Obélix,700 N. Sedgwick St.,https://www.obelixchicago.com
19,Sepia,123 N. Jefferson St.,https://www.sepiachicago.com
20,Lula Cafe,2537 N. Kedzie Blvd.,https://www.lulacafe.com
21,Bungalow by Middle Brow,2840 W. Armitage Ave.,https://www.middlebrowbeer.com
22,Atelier,4835 N. Western Ave.,https://www.atelier-chicago.com
23,La Chaparrita Grocery,2500 S. Whipple St.,https://www.facebook.com/LaChaparritaGrocery.1
24,Perilla,401 N. Milwaukee Ave.,https://perillachicago.com
25,Superkhana International,3059 W. Diversey Ave.,https://www.superkhanachicago.com
26,Birrieria Zaragoza,4852 S. Pulaski Rd. | 4800 N. Broadway,https://www.birrieriazaragoza.com
27,Lem’s Bar-B-Q,311 E. 75th St.,https://lemsque.com
28,Indienne,217 W. Huron St.,https://www.indiennechicago.com
29,Demera,4801 N. Broadway,https://www.demerachicago.com
30,The Loyalist,177 N. Ada St,https://www.smythandtheloyalist.com
31,JT’s Genuine Sandwich Shop,3970 N. Elston Ave.,https://jtsgenuine.com
32,The Duck Inn,2701 S. Eleanor St.,https://theduckinnchicago.com
33,Mitsuwa Marketplace Food Court,100 E. Algonquin Rd.,https://mitsuwa.com/ch
34,Lilac Tiger,1742 W. Division St.,https://lilactigerchi.com
35,Bavette’s Bar & Boeuf,218 W. Kinzie St.,https://bavettessteakhouse.com
36,Ocean Grill and Bar,1826 S. Canal St.,https://oceangrillbarchicago.com
37,Daisies,2375 N. Milwaukee Ave.,https://www.daisieschicago.com
38,Roux,1055 E. 55th St.,https://rouxdiner.com
39,S.K.Y.,1239 W. 18th St.,https://www.skyrestaurantchicago.com
40,Schwa,1466 N. Ashland Ave.,https://schwarestaurant.com
41,Boeufhaus,1012 N. Western Ave.,https://www.boeufhaus.com
42,New Village Gastro Pub,3566 Milwaukee Ave.,https://www.newvillagepub.com
43,Bayan Ko,1810 W. Montrose Ave.,https://bayankochicago.com
44,Noon-O-Kabab,4701 N. Kedzie Ave. | 242 Green Bay Rd.,https://www.noonokabab.com
45,Spacca Napoli,1769 W. Sunnyside Ave.,https://www.spaccanapolipizzeria.com
46,Shanghai Terrace,108 E. Superior St.,https://www.peninsula.com/en/chicago/hotel-fine-dining/shanghai-terrace-cantonese
47,Daisy’s Po-Boy and Tavern,5215 S. Harper Ave.,https://www.daisyspoboychicago.com
48,Dolo Restaurant and Bar,2222 S. Archer Ave.,https://www.dolorestaurant.com
49,Redhot Ranch,3057 N. Ashland Ave. | 2449 W. Armitage Ave. | 500 W. 35th St.,https://www.redhotranchchicago.com
50,Immm Rice & Beyond,4949 N. Broadway,https://immmchicago.com
