이디야,가까운 스타벅스,거리(m)
랩,논현힐탑점,139.11969944438596
개포동역점,대치역점,728.0214427543488
학동역점,학동역점,213.08188873152812
선릉역점,선릉역점,37.40293683678913
강남대치점,선릉세화빌딩점,296.76305050552924
역삼플래티넘점,강남비젼타워점,122.58992010055428
대청역점,학여울역점,909.5363486023645
신사역점,도산가로수길점,178.9376874895251
청담역점,청담역점,77.76520240824523
강남구청역아이티웨딩점,강남구청역점,84.69255196616649
삼성중앙역점,삼성현대힐점,68.05464414538545
삼성동점,삼성역섬유센터R점,129.9346979575462
역삼중앙점,역삼아레나빌딩점,86.21437416984874
역삼점,구역삼사거리점,146.25600817656968
강남율현점,강남세곡점,988.6968378822878
일원동점,학여울역점,1432.9589476764395
강남논현학동점,학동역점,241.76269427307685
역삼역점,GS타워점,184.42054918429648
삼성한전점,삼성동점,133.81296604099845
한티역점,한티역점,167.6278020940239
도산사거리점,도산사거리점,213.53243130220153
역삼월드점,역삼이마트점,94.24695196495755
청담사거리점,청담점,119.3303416309597
학동제마점,논현힐탑점,209.07836949279212
삼성대치점,대치점,107.35523035225489
역삼충현점,GS타워점,214.42652256666958
을지병원사거리점,을지병원사거리점,73.52736856516007
강남YMCA점,언주역점,251.5273557653052
강남도산점,압구정윤성빌딩점,264.7320722909967
건설회관점,도산사거리점,246.97771971114383
포이사거리점,포이점,150.19456799725398
도곡2동점,영동2교점,60.30071036527322
고덕강일2지구점,강동강일점,100.24214244205322
강동고덕교차로점,강일역점,81.40646077922304
길동사거리점,천호대로길동점,82.37221121661841
길동역점,길동역점,165.60126627212068
천호초교사거리,굽은다리역점,753.7261323068949
천호로데오점,천호로데오점,96.65320431079319
올림픽북문점,올림픽공원북2문점,40.105232818298795
명일역점,명일역점,293.3276475633
천호중앙점,천호사거리점,108.11121461390721
고덕점,명일이마트점,73.85240124262378
강동성내점,강동구청DT점,555.6491905777104
명일중앙점,굽은다리역점,249.68114878329476
보훈병원점,천호대로길동점,843.7989304225808
암사중앙점,강동암사DT점,577.9105182682715
강동역점,강동역점,266.37623589839785
천호현대점,천호사거리점,138.10672616463432
고덕그라시움후문점,상일동역점,642.9129506085583
강일점,강동강일점,759.6651268422513
길동중앙점,길동역점,571.8402654558265
둔촌점,천호대로길동점,623.8260323074819
강동구청점,강동구청DT점,131.9337321578467
천호1동점,강동역점,661.2805925010454
가오리역점,수유역5번출구점,749.8074993743396
수유역점,강북구청사거리점,95.65189654780072
미아꿈의숲해링턴점,미아사거리역점,855.8812030722172
북한산점,수유역5번출구점,1787.9670198541614
수유사거리점,수유역5번출구점,281.0068366022526
미아역점,미아역점,139.82143001196798
우이역도선사점,파라스파라서울점,417.80765617079686
번동점,미아역점,1210.4967794637903
한신대역점,수유역5번출구점,627.3323584816053
미아중앙점,미아역점,661.8255313204173
화곡로점,화곡동점,103.81574885106593
마곡퀸즈파크9점,발산역사거리점,105.46162754994565
화곡사거리점,까치산역점,236.94133129320625
마곡헤리움점,마곡나루역점,136.32763368476935
파인스퀘어점,마곡GMG점,234.69164891886558
가양역점,가양역사거리점,59.26196806488784
공항시장역점,송정역점,365.5615434291862
방화사거리점,방화DT점,427.3006783042639
개화산점,김포공항국제선점,348.78473149461126
강서구청점,강서구청사거리점,597.1587286713049
강서nc점,발산역점,90.57969116117373
우장산동점,화곡역8번출구점,654.8549583075649
까치산로점,강서구청사거리점,221.80179285908616
