cafe_name,address,gu_name,latitude,longitude
랩,서울 강남구 논현로 636 이디야빌딩,강남구,37.510475,127.0330131
개포동역점,서울 강남구 개포로82길 11 삼우빌딩 1층,강남구,37.4885648,127.0674601
학동역점,서울 강남구 학동로 219 2층,강남구,37.5149993,127.0331486
선릉역점,서울 강남구 테헤란로 332 hj타워,강남구,37.5037746,127.0481921
강남대치점,서울 강남구 역삼로 415 성진빌딩 1층,강남구,37.5012813,127.0524213
역삼플래티넘점,서울 강남구 테헤란로4길 46 쌍용플래티넘밸류,강남구,37.4955423,127.0304041
대청역점,서울 강남구 개포로109길 34,강남구,37.494206,127.0776509
신사역점,서울 강남구 압구정로2길 62,강남구,37.5177801,127.0214559
청담역점,서울 강남구 삼성로 721,강남구,37.5200643,127.049161
강남구청역아이티웨딩점,서울 강남구 학동로 338 강남파라곤 111호,강남구,37.5165899,127.0402809
삼성중앙역점,서울 강남구 삼성로 608 1층,강남구,37.5138943,127.0533175
삼성동점,서울 강남구 테헤란로88길 10 1층 101호,강남구,37.5068487,127.0594706
역삼중앙점,서울 강남구 언주로81길 8 1층,강남구,37.5003525,127.0428763
역삼점,서울 강남구 논현로72길 13 M SPACE 빌딩,강남구,37.4958391,127.0405671
강남율현점,서울 강남구 밤고개로21길 8 세곡프라자 1층,강남구,37.4735487,127.1078637
일원동점,서울 강남구 양재대로27길 20 이디야커피 일원동점,강남구,37.490409,127.0816403
강남논현학동점,서울 강남구 논현로131길 28 1층,강남구,37.5140837,127.0281346
역삼역점,서울 강남구 테헤란로25길 17,강남구,37.5018023,127.0352648
삼성한전점,서울 강남구 테헤란로107길 11 성보타워 1층 105호,강남구,37.5104302,127.0650644
한티역점,서울 강남구 도곡로69길 8,강남구,37.4979593,127.0561457
도산사거리점,서울 강남구 언주로148길 14 1층 이디야커피 도산사거리점,강남구,37.5206335,127.0361667
역삼월드점,서울 강남구 역삼로52길 14 도곡프라자 1층 이디야커피 역삼월드점,강남구,37.4985105,127.0480048
청담사거리점,서울 강남구 도산대로 521,강남구,37.5248741,127.0504024
학동제마점,서울 강남구 학동로34길 22 1층,강남구,37.5131191,127.0336708
삼성대치점,서울 강남구 삼성로64길 32 주성빌딩 1층,강남구,37.5003851,127.0630387
역삼충현점,서울 강남구 논현로98길 7,강남구,37.5037681,127.0363736
을지병원사거리점,서울 강남구 도산대로30길 7 ABS 빌딩,강남구,37.5193861,127.0294489
강남YMCA점,서울 강남구 봉은사로37길 29 뜨레빌 빌라,강남구,37.5099441,127.0357371
강남도산점,서울 강남구 도산대로37길 20 1층,강남구,37.5222808,127.0315014
건설회관점,서울 강남구 언주로 711 1층,강남구,37.5174578,127.0346681
포이사거리점,서울 강남구 개포로 218,강남구,37.4785043,127.0466279
도곡2동점,서울 강남구 논현로 142 동현빌딩,강남구,37.4824282,127.0430371
고덕강일2지구점,"서울 강동구 아리수로93나길 76 SB메디컬타워 106호, 107호",강동구,37.5724703,127.1759358
강동고덕교차로점,서울 강동구 고덕로 421,강동구,37.5574421,127.1725853
길동사거리점,서울 강동구 천호대로 1132,강동구,37.5340784,127.1369884
길동역점,서울 강동구 양재대로 1471,강동구,37.5373655,127.1392909
천호초교사거리,서울 강동구 구천면로 304 일주빌딩,강동구,37.5467197,127.1348298
천호로데오점,서울 강동구 천호대로 1027 동원빌딩 1층,강동구,37.5381742,127.1263458
올림픽북문점,서울 강동구 성안로 7 강림빌딩,강동구,37.5245538,127.1289158
명일역점,서울 강동구 구천면로 424,강동구,37.5503475,127.1455974
천호중앙점,서울 강동구 올림픽로 660 1층 105호,강동구,37.5401895,127.124472
고덕점,서울 강동구 동남로75길 19 명일빌딩,강동구,37.5541286,127.1551948
강동성내점,서울 강동구 풍성로 162 1층,강동구,37.5305147,127.1298686
명일중앙점,서울 강동구 상암로 210 명일현대종합상가,강동구,37.5462983,127.1458016
보훈병원점,서울 강동구 명일로 110 둔촌동암펠로스타워,강동구,37.5288574,127.1432144
암사중앙점,서울 강동구 암사길 50 제이빌더스,강동구,37.5516888,127.1349516
강동역점,서울 강동구 천호대로 1065 강동상떼빌,강동구,37.5370233,127.1304648
천호현대점,서울 강동구 올림픽로 665 대일빌딩,강동구,37.5409236,127.1238914
고덕그라시움후문점,서울 강동구 동남로82길 121 1층,강동구,37.5603995,127.1637165
강일점,"서울 강동구 아리수로93길 19 105, 106호",강동구,37.5653807,127.174118
길동중앙점,서울 강동구 명일로 200 1층 101호,강동구,37.5365498,127.1459489
둔촌점,서울 강동구 양재대로 1377 1층 9호,강동구,37.5292243,127.1362754
강동구청점,서울 강동구 성내로6길 20 1층 105호,강동구,37.528912,127.1223551
천호1동점,서울 강동구 구천면로34길 43,강동구,37.542549,127.1335883
가오리역점,서울 강북구 삼각산로 108 이디야가오리역점,강북구,37.6406045,127.0161825
수유역점,서울 강북구 도봉로 355,강북구,37.6393494,127.026722
미아꿈의숲해링턴점,서울 강북구 오현로 45 108동 상가 2-7호,강북구,37.6190199,127.0342979
북한산점,서울 강북구 4.19로 85 1층 이디야 커피,강북구,37.644777,127.0056188
수유사거리점,서울 강북구 덕릉로 82,강북구,37.6344222,127.02286
미아역점,서울 강북구 도봉로 207,강북구,37.6270618,127.0254928
우이역도선사점,서울 강북구 삼양로173길 21,강북구,37.6625807,127.0113698
번동점,서울 강북구 오현로 194,강북구,37.6288428,127.0398909
