Season,Episode,Name,Rating,Story,Director,Writers,Stars
1,1,Pilot,8.1,"A pair of socially awkward theoretical physicists meet their new neighbor Penny, who is their polar opposite.",James Burrows,"Chuck Lorre, Bill Prady","Johnny Galecki, Jim Parsons, Kaley Cuoco"
1,2,The Big Bran Hypothesis,8.2,Penny is furious with Leonard and Sheldon when they sneak into her apartment and clean it while she is sleeping.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Robert Cohen","Johnny Galecki, Jim Parsons, Kaley Cuoco"
1,3,The Fuzzy Boots Corollary,7.6,"Leonard gets upset when he discovers that Penny is seeing a new guy, so he tries to trick her into going on a date with him.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
1,4,The Luminous Fish Effect,8.0,Sheldon's mother is called to intervene when he delves into numerous obsessions after being fired for being disrespectful to his new boss.,Mark Cendrowski,"Chuck Lorre, Bill Prady, David Litt","Johnny Galecki, Jim Parsons, Kaley Cuoco"
1,5,The Hamburger Postulate,7.8,"Leslie seduces Leonard, but afterwards tells him that she is only interested in a one-night stand.",Andrew D. Weyman,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco"
1,6,The Middle Earth Paradigm,8.3,"The guys are invited to Penny's Halloween party, where Leonard has yet another run-in with Penny's ex-boyfriend Kurt.",Mark Cendrowski,"Chuck Lorre, Bill Prady, David Litt","Johnny Galecki, Jim Parsons, Kaley Cuoco"
1,7,The Dumpling Paradox,8.1,"When Howard hooks up with Penny's old friend, his absence in the gang causes problems for the rest of the guys.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco"
1,8,The Grasshopper Experiment,8.1,"When Raj's parents set him up on a blind date, he finds he can talk to women with the aid of alcohol.",Ted Wass,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco"
1,9,The Cooper-Hofstadter Polarization,7.9,"Leonard and Sheldon's friendship is put to the test when Leonard wants to present a paper they co-authored at a physics convention, but Sheldon doesn't.",Joel Murray,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco"
1,10,The Loobenfeld Decay,8.0,"Leonard lies to Penny so he and Sheldon can get out of watching her perform, but Sheldon believes that the lie has too many loose ends, so he comes up with a new, unnecessarily complex one to replace it.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco"
1,11,The Pancake Batter Anomaly,8.2,"When Sheldon gets sick, Leonard, Howard and Raj go AWOL, leaving a reluctant Penny to deal with him.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Stephen Engel","Johnny Galecki, Jim Parsons, Kaley Cuoco"
1,12,The Jerusalem Duality,7.8,"Sheldon decides to give up his work and focus on other tasks when a 15-year-old prodigy joins the university, so the other guys come up with a plan to get rid of him.",Mark Cendrowski,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco"
1,13,The Bat Jar Conjecture,8.2,"Sheldon becomes so intent on demonstrating his intellectual superiority over the other guys that they kick him off the Physics Bowl team and replace him with his nemesis, Leslie.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Robert Cohen","Johnny Galecki, Jim Parsons, Kaley Cuoco"
1,14,The Nerdvana Annihilation,8.0,"Penny gets mad at the guys when their full scale model of a time machine causes her to miss work, which prompts Leonard to give up all of his nerd memorabilia.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Stephen Engel","Johnny Galecki, Jim Parsons, Kaley Cuoco"
