기업이름,진행중 채용공고,업력,기업형태,사원수,매출액,평균연봉,최저연봉,최고연봉
(주)로보티즈,10,업력 27년차,중소기업,158 명,False,"5,406 만원","3,130만원","6,948만원"
두산로보틱스(주),False,업력 11년차,대기업,235 명,False,False,False,False
휴림로봇(주),4,업력 27년차,False,63 명,False,"4,268 만원","2,824만원","6,216만원"
(주)클로봇,5,업력 9년차,스타트업,136 명,"134억 4,336만원","6,605 만원","3,462만원","7,915만원"
(주)마루에이치알,29,업력 20년차,중소기업,247 명,"203억 5,881만원","3,573 만원","2,450만원","4,971만원"
(주)세스텍,3,업력 27년차,중소기업,107 명,"341억 1,870만원","6,287 만원","3,456만원","7,138만원"
(주)엠앤디,4,업력 26년차,중소기업,59 명,"70억 3,795만원","6,499 만원","3,646만원","7,498만원"
(주)아이지,5,업력 17년차,중소기업,58 명,"184억 2,468만원","4,957 만원","2,962만원","6,543만원"
(사)캠틱종합기술원,4,False,중소기업,101 명,"305억 2,982만원","5,840 만원","3,329만원","7,177만원"
(주)미르이즈,2,업력 20년차,중소기업,62 명,"132억 8,337만원","6,361 만원","3,461만원","8,001만원"
(주)트위니,2,업력 11년차,스타트업,94 명,"13억 7,399만원","5,883 만원","3,387만원","7,037만원"
(주)페르소나에이아이,1,업력 9년차,중소기업,87 명,"95억 5,141만원",False,False,False
(주)원익로보틱스,1,업력 22년차,중소기업,53 명,False,"8,067 만원","3,927만원","9,145만원"
(주)휴로틱스,2,업력 4년차,중소기업,16 명,"3,729만원","4,736 만원","2,929만원","6,210만원"
(주)로보케어,1,업력 14년차,중견기업,46 명,85억 562만원,"6,659 만원","3,719만원","7,533만원"
(주)라스테크,3,업력 25년차,스타트업,40 명,"39억 4,025만원","3,781 만원","2,614만원","5,987만원"
(주)인티그리트,5,업력 12년차,중소기업,22 명,False,"6,492 만원","3,642만원","7,392만원"
(주)베어로보틱스코리아,False,업력 9년차,스타트업,144 명,"233억 4,668만원","7,225 만원","3,927만원","8,307만원"
빅웨이브로보틱스(주),5,업력 6년차,스타트업,47 명,False,"5,575 만원","3,108만원","7,194만원"
(주)로아스,2,업력 6년차,중소기업,34 명,False,"5,749 만원","3,282만원","6,962만원"
(주)링크솔루션,5,업력 11년차,중소기업,57 명,"72억 9,448만원","6,090 만원","3,475만원","7,167만원"
(주)알티올,15,업력 9년차,중소기업,42 명,"60억 6,294만원","6,977 만원","3,482만원","8,158만원"
(주)럭스로보,7,업력 12년차,스타트업,81 명,False,False,False,False
(주)에이트테크,3,업력 6년차,중소기업,51 명,False,"5,238 만원","3,074만원","6,617만원"
코가로보틱스(주),2,업력 9년차,중소기업,71 명,13억 190만원,"5,649 만원","3,153만원","7,252만원"
(주)로보스,1,업력 4년차,중소기업,38 명,False,"7,534 만원","4,110만원","8,360만원"
(주)무진기연,5,업력 27년차,중소기업,60 명,"190억 6,370만원","6,283 만원","3,454만원","7,017만원"
(주)바질컴퍼니,3,업력 8년차,중소기업,28 명,29억 527만원,"5,136 만원","3,037만원","6,483만원"
(주)한컴어썸텍,4,업력 8년차,중소기업,9 명,"7억 2,157만원","4,139 만원","2,793만원","5,584만원"
(주)스마트크리에이터,1,업력 9년차,중소기업,11 명,"13억 5,792만원","3,624 만원","2,494만원","5,786만원"
(주)로보아이,3,업력 7년차,중소기업,8 명,"13억 5,961만원","3,864 만원","2,708만원","5,421만원"
딥마인드플랫폼(주),3,업력 15년차,중소기업,29 명,False,"4,351 만원","2,827만원","5,985만원"
(주)아이엠알,3,업력 16년차,중소기업,23 명,"31억 2,262만원","4,435 만원","2,798만원","6,422만원"
(주)이안하이텍,1,업력 17년차,스타트업,18 명,"41억 5,271만원","5,197 만원","3,057만원","6,628만원"
(주)써로마인드,2,업력 11년차,중소기업,45 명,32억 987만원,"6,468 만원","3,604만원","8,011만원"
(주)다운,4,업력 12년차,중소기업,17 명,"27억 4,730만원","4,558 만원","2,835만원","5,960만원"
(주)리안,1,업력 9년차,중소기업,6 명,"7억 5,845만원","4,947 만원","3,096만원","6,079만원"
(주)이노드,2,업력 8년차,중소기업,15 명,"20억 7,665만원",False,False,False
(주)지나테크,1,업력 6년차,중소기업,46 명,"73억 9,279만원","4,956 만원","2,962만원","6,718만원"
(주)한테크,1,업력 12년차,중소기업,11 명,17억 816만원,"6,831 만원","3,469만원","7,621만원"
(주)솔코,1,업력 17년차,중소기업,20 명,"82억 9,945만원","7,105 만원","3,838만원","7,671만원"
(주)노바,1,업력 15년차,스타트업,31 명,40억 540만원,"6,521 만원","3,652만원","7,320만원"
(주)애니토이,3,업력 14년차,중소기업,15 명,"33억 6,952만원","4,848 만원","2,934만원","6,270만원"
(주)모디,1,업력 7년차,중소기업,7 명,"13억 6,299만원","4,389 만원","2,992만원","5,892만원"
(주)아인잡,7,업력 9년차,중소기업,3 명,"3,150만원",False,False,False
(주)타스글로벌,1,업력 12년차,중소기업,False,"24억 3,350만원","5,405 만원","3,120만원","6,535만원"
(주)테이아,4,업력 11년차,중소기업,74 명,"104억 4,773만원","5,788 만원","3,188만원","7,345만원"
(주)에스엘엠,2,업력 8년차,중소기업,38 명,"21억 3,382만원",False,False,False
인티맥스(주),4,업력 11년차,중소기업,False,False,"7,021 만원","3,784만원","8,249만원"
(주)엔티렉스,False,업력 23년차,중소기업,139 명,"495억 2,332만원","3,776 만원","2,560만원","5,325만원"
(주)비아,5,업력 7년차,중소기업,13 명,"14억 7,718만원","4,539 만원","2,940만원","6,230만원"
(주)쉐코,3,업력 7년차,중소기업,19 명,"4억 1,858만원","4,776 만원","2,942만원","6,232만원"
(주)플레토로보틱스,False,업력 28년차,중소기업,27 명,"55억 7,427만원","5,025 만원","3,001만원","6,489만원"
긱플러스코리아(유),5,업력 5년차,중소기업,False,"306억 5,923만원","8,723 만원","4,750만원","10,143만원"
(주)디엔비소프트,1,업력 14년차,중소기업,False,"20억 4,636만원","4,411 만원","2,770만원","6,602만원"
(주)바램시스템,1,업력 18년차,스타트업,27 명,False,False,False,False
동원테크(주),1,업력 14년차,중소기업,10 명,"24억 2,705만원","4,506 만원","2,818만원","6,053만원"
(주)플레이어원컴퍼니,2,업력 5년차,중소기업,17 명,"25억 3,005만원","4,489 만원","2,812만원","6,382만원"
(주)버즈니,1,업력 19년차,스타트업,70 명,"96억 2,372만원","8,244 만원","3,984만원","9,423만원"
니어솔루션(주),1,업력 9년차,중소기업,15 명,"32억 6,231만원","6,409 만원","3,406만원","7,682만원"
(주)세성,False,업력 26년차,중소기업,40 명,"528억 9,063만원","4,613 만원","2,889만원","5,723만원"
(주)엠텍정보기술,1,업력 13년차,중소기업,9 명,"18억 4,938만원","6,241 만원","3,648만원","6,931만원"
(주)케이아이,False,업력 28년차,중소기업,4 명,"48억 2,858만원",False,False,False
(주)한국엔에스디,2,업력 14년차,중소기업,False,"42억 8,948만원",False,False,False
(주)메이킷올,1,업력 8년차,중소기업,4 명,"14억 4,342만원","3,233 만원","2,351만원","5,041만원"
(주)디엠비에이치,False,업력 23년차,중소기업,6 명,"24억 9,251만원","7,090 만원","4,229만원","7,601만원"
포미(주),False,업력 23년차,중소기업,18 명,"44억 4,476만원","3,564 만원","2,504만원","5,602만원"
(주)아폴로로보틱스,False,업력 26년차,중소기업,21 명,"64억 6,777만원","4,389 만원","2,866만원","5,891만원"
삼익티엔에이치(주),1,업력 14년차,중소기업,22 명,"118억 7,514만원","4,762 만원","2,920만원","6,294만원"
(주)엠티에스이,False,업력 22년차,중소기업,3 명,"20억 9,036만원",False,False,False
(주)로보닉스,2,업력 8년차,중소기업,3 명,"18억 8,370만원","3,822 만원","2,693만원","5,399만원"
네오피아(주),False,업력 27년차,중소기업,13 명,"41억 7,644만원","4,579 만원","2,841만원","6,097만원"
(주)다민로봇,1,업력 7년차,중소기업,13 명,"6억 4,736만원","5,308 만원","3,036만원","6,922만원"
(주)한국로보틱스,3,업력 6년차,중소기업,13 명,"4억 6,460만원","5,563 만원","3,363만원","6,567만원"
(주)에이티엠,False,업력 31년차,중소기업,57 명,"114억 1,978만원","5,148 만원","3,035만원","6,515만원"
(주)넥스콤,2,업력 5년차,중소기업,18 명,"30억 2,566만원","5,970 만원","3,419만원","7,104만원"
(주)신라시스템,False,업력 21년차,중소기업,49 명,"56억 3,850만원","5,381 만원","3,054만원","6,986만원"
(주)다울피피티,3,업력 8년차,중소기업,5 명,"23억 3,379만원","4,984 만원","3,137만원","6,002만원"
(주)마로로봇테크,False,업력 18년차,스타트업,25 명,"21억 8,021만원","4,777 만원","2,942만원","6,269만원"
(주)나야넷,False,업력 11년차,중소기업,35 명,"53억 4,785만원","3,926 만원","2,584만원","6,267만원"
(주)성호하이텍,False,업력 20년차,스타트업,19 명,"49억 4,228만원","4,997 만원","2,981만원","6,253만원"
(주)도로,3,업력 3년차,중소기업,5 명,"6억 6,505만원","3,447 만원","2,440만원","5,343만원"
(주)아코스쿨,2,업력 4년차,중소기업,6 명,"10억 6,200만원","3,937 만원","2,715만원","6,009만원"
(주)크레듀,2,업력 8년차,중소기업,5 명,"7억 9,274만원","2,571 만원","2,265만원","6,043만원"
(주)디엠에스,False,업력 17년차,중소기업,17 명,"38억 2,844만원","4,639 만원","2,898만원","6,715만원"
(주)지오테크시스템,False,업력 21년차,중소기업,13 명,"63억 5,867만원","3,702 만원","2,538만원","5,279만원"
(주)소디스,False,업력 19년차,중소기업,17 명,45억 882만원,"5,875 만원","3,387만원","6,942만원"
(주)모션디바이스,False,업력 15년차,중소기업,14 명,"157억 6,980만원","7,642 만원","4,158만원","7,763만원"
(주)제이솔루션,False,업력 8년차,중소기업,30 명,"47억 2,851만원","3,425 만원","2,533만원","5,626만원"
(주)로봇템,False,업력 10년차,중소기업,16 명,"50억 4,160만원","6,376 만원","3,490만원","7,314만원"
(주)우성기계,2,업력 12년차,중소기업,10 명,"38억 5,205만원","7,133 만원","4,250만원","7,514만원"
스카이로보,3,False,중소기업,False,"4억 4,088만원",False,False,False
(주)로보스텍,1,업력 8년차,중소기업,12 명,"28억 4,397만원","5,516 만원","3,169만원","6,760만원"
(주)앤에이치씨,False,업력 11년차,중소기업,13 명,23억 226만원,"6,528 만원","3,654만원","7,587만원"
(주)에이플,False,업력 3년차,중소기업,10 명,"1억 5,000만원","4,699 만원","3,014만원","6,338만원"
