cafe_name,address,gu_name,latitude,longitude
역삼아레나빌딩점,서울특별시 강남구 언주로 425 (역삼동),강남구,37.5011154,127.0430599
논현역사거리점,서울특별시 강남구 강남대로 538 (논현동),강남구,37.5102238,127.0222905
신사역성일빌딩점,서울특별시 강남구 강남대로 584 (논현동),강남구,37.5139392,127.0206351
국기원사거리점,서울특별시 강남구 테헤란로 125 (역삼동),강남구,37.4996098,127.0316927
대치재경빌딩점,서울특별시 강남구 남부순환로 2947 (대치동),강남구,37.4945786,127.062676
봉은사역점,서울특별시 강남구 봉은사로 619 (삼성동),강남구,37.5149947,127.0631379
압구정윤성빌딩점,서울특별시 강남구 논현로 834 (신사동),강남구,37.5228353,127.0285887
코엑스별마당점,서울특별시 강남구 영동대로 513 (삼성동),강남구,37.5116621,127.0594274
삼성역섬유센터R점,서울특별시 강남구 테헤란로 518 (대치동),강남구,37.5076008,127.0605968
압구정R점,서울특별시 강남구 언주로 861 (신사동),강남구,37.5274157,127.0331634
수서역R점,서울특별시 강남구 광평로 281 (수서동),강남구,37.4881219,127.103087
양재강남빌딩R점,서울특별시 강남구 남부순환로 2621 (도곡동),강남구,37.4852517,127.0366398
선릉동신빌딩R점,서울특별시 강남구 테헤란로 409 (삼성동),강남구,37.5053676,127.0504072
봉은사로선정릉점,서울특별시 강남구 봉은사로 446 (삼성동),강남구,37.5113651,127.0485264
강남오거리점,서울특별시 강남구 봉은사로2길 39 (역삼동),강남구,37.5020758,127.0266873
스타필드코엑스몰R점,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,강남구,37.5116621,127.0594274
강남구청정문점,서울특별시 강남구 학동로 419 (청담동),강남구,37.5183063,127.0459958
도곡공원점,서울특별시 강남구 도곡로 205 (역삼동),강남구,37.4929277,127.0413818
강남R점,서울특별시 강남구 강남대로 390 (역삼동),강남구,37.497901,127.028709
대치은마사거리점,서울특별시 강남구 도곡로 457 (대치동),강남구,37.4990048,127.0602016
청담영동대로점,서울특별시 강남구 영동대로 720 (청담동),강남구,37.5221933,127.0564611
압구정점,서울특별시 강남구 압구정로30길 17 (신사동),강남구,37.5263219,127.0295456
신사가로수점,서울특별시 강남구 가로수길 59,강남구,37.5218965,127.0225386
청담스타R점,서울특별시 강남구 도산대로57길 24 (청담동),강남구,37.5252561,127.0417755
강남우성점,서울특별시 강남구 강남대로 328 (역삼동),강남구,37.4924281,127.0309385
학동사거리점,서울특별시 강남구 도산대로 328 (논현동),강남구,37.5223957,127.0379816
대치사거리점,서울특별시 강남구 삼성로 402 (대치동),강남구,37.5033724,127.0588557
포스코사거리점,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,강남구,37.5075748,127.0574627
을지병원사거리점,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",강남구,37.519162,127.0286662
신사역점,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,강남구,37.5161887,127.0206793
도곡역점,서울특별시 강남구 남부순환로 2909 (대치동),강남구,37.492191,127.0574186
서울세관사거리점,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,강남구,37.5149422,127.0357897
청담사거리점,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,강남구,37.5237774,127.0468799
한티역점,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",강남구,37.4966282,127.05525
역삼초교사거리점,서울특별시 강남구 역삼로 123 (역삼동),강남구,37.494184,127.0330224
코엑스몰점,서울특별시 강남구 영동대로 513 (삼성동) O103호,강남구,37.5116621,127.0594274
가로수길점,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",강남구,37.5231839,127.0216592
역삼대로점,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)",강남구,37.5018938,127.0392851
역삼포스코점,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)",강남구,37.4994283,127.0337289
강남대로점,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",강남구,37.5031776,127.0255916
청담점,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",강남구,37.5243767,127.0515992
삼성도심공항점,서울특별시 강남구 테헤란로87길 33 (삼성동),강남구,37.5098304,127.0579482
삼성교점,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층",강남구,37.5078308,127.0652102
학동역점,서울특별시 강남구 논현로 704 (논현동),강남구,37.5146045,127.0307899
대치점,서울특별시 강남구 도곡로 511 (대치동),강남구,37.4996454,127.0622564
신세계푸드마켓도곡점,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",강남구,37.4897178,127.0546504
삼성점,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)",강남구,37.5069533,127.0556179
선릉세화빌딩점,서울특별시 강남구 테헤란로64길 18 (대치동) 1층,강남구,37.503778,127.05122
압구정역점,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)",강남구,37.5267612,127.0281253
압구정로점,서울특별시 강남구 압구정로42길 32 (신사동),강남구,37.5267982,127.0347357
구역삼사거리점,서울특별시 강남구 논현로 401 (역삼동),강남구,37.4959353,127.0389176
큰길타워점,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)",강남구,37.5023961,127.0406935
강남구청역점,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)",강남구,37.5166379,127.041237
대치역점,서울특별시 강남구 남부순환로 2936 (대치동) 107호,강남구,37.493385,127.0618767
포이점,서울특별시 강남구 논현로 88 (개포동),강남구,37.4778221,127.0451614
아크플레이스점,서울특별시 강남구 테헤란로 142 (역삼동),강남구,37.4997343,127.0349637
학여울역점,서울특별시 강남구 영동대로 215 (대치동),강남구,37.4980052,127.0685376
선정릉역점,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩,강남구,37.5107811,127.0445725
삼성현대힐점,서울특별시 강남구 삼성로 605 (삼성동),강남구,37.5134928,127.0527357
GS타워점,서울특별시 강남구 논현로 508 (역삼동),강남구,37.5019949,127.0373364
압구정미소점,서울특별시 강남구 논현로 841 (신사동),강남구,37.5240297,127.027762
선릉역점,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)",강남구,37.5039513,127.0485523
코엑스사거리점,서울특별시 강남구 영동대로 616 (삼성동),강남구,37.5152567,127.0602256
역삼럭키점,서울특별시 강남구 도곡로 183 (역삼동),강남구,37.4922524,127.0394115
신압구정점,서울특별시 강남구 언주로174길 29 (신사동),강남구,37.5281233,127.0364849
아크로힐스논현점,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)",강남구,37.5089816,127.0404241
강남비젼타워점,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",강남구,37.4965038,127.0297218
압구정로데오역점,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)",강남구,37.5265481,127.0405477
르네상스사거리점,서울특별시 강남구 테헤란로 306 (역삼동),강남구,37.502591,127.0441312
포스코점,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)",강남구,37.5057792,127.0579627
선릉로점,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",강남구,37.504995,127.0467695
논현힐탑점,서울특별시 강남구 논현로 648 (논현동),강남구,37.5115889,127.0322915
도산가로수길점,"서울특별시 강남구 도산대로 134, 2층 (논현동)",강남구,37.5173572,127.0234091
매봉역점,서울특별시 강남구 남부순환로 2736 (도곡동),강남구,37.4859078,127.0452641
대치한티점,서울특별시 강남구 선릉로 324 (대치동),강남구,37.4985271,127.0520964
개포동점,서울특별시 강남구 선릉로 34 (개포동),강남구,37.4828398,127.060745
수서역사거리점,서울특별시 강남구 광평로 280 (수서동),강남구,37.4873192,127.103108
코엑스아셈타워점,서울특별시 강남구 영동대로 517 (삼성동),강남구,37.5130502,127.0598322
센터필드R점,서울특별시 강남구 테헤란로 231 (역삼동),강남구,37.5028813,127.0413566
도산사거리점,서울특별시 강남구 언주로 727 (논현동),강남구,37.5196367,127.0341007
강남세곡점,서울특별시 강남구 헌릉로569길 18 (세곡동),강남구,37.4672743,127.0999297
대치삼성점,서울특별시 강남구 영동대로 237 (대치동),강남구,37.5004652,127.0670641
언주역점,서울특별시 강남구 봉은사로 222 (역삼동),강남구,37.507768,127.0365316
강남역신분당역사점,서울특별시 강남구 강남대로 396 (역삼동),강남구,37.4981647,127.0283079
삼성역점,서울특별시 강남구 테헤란로 620 (대치동),강남구,37.5092066,127.0656011
테헤란로아남타워점,서울특별시 강남구 테헤란로 311 (역삼동),강남구,37.503772,127.0448419
강남논현점,서울특별시 강남구 강남대로 512 (논현동),강남구,37.5078911,127.023341
삼성동점,서울특별시 강남구 영동대로96길 12 (삼성동),강남구,37.5107447,127.0636033
압구정역사3번출구점,서울특별시 강남구 논현로 854 (신사동),강남구,37.5253216,127.0288651
청담역점,서울특별시 강남구 삼성로 709 (청담동),강남구,37.5194306,127.0495363
압구정현대아파트점,서울특별시 강남구 논현로175길 38 (신사동),강남구,37.525188,127.0255686
강남청담빌딩점,서울특별시 강남구 선릉로 704 (청담동),강남구,37.5178094,127.0414074
역삼이마트점,서울특별시 강남구 역삼로 310 (역삼동),강남구,37.4992883,127.0484325
케이스퀘어강남점,서울특별시 강남구 강남대로94길 10 (역삼동),강남구,37.4991963,127.0282272
강남세곡DT점,서울특별시 강남구 헌릉로 727 (세곡동),강남구,37.4669908,127.1183361
미아뉴타운점,서울특별시 강북구 삼양로 161 (미아동),강북구,37.6183958,127.0211389
강북구청사거리점,서울특별시 강북구 도봉로 365 (수유동),강북구,37.6400289,127.0273886
미아사거리역점,서울특별시 강북구 도봉로 32 (미아동),강북구,37.6118504,127.0307281
수유역점,서울특별시 강북구 도봉로 342 (번동),강북구,37.6380351,127.0261456
미아역점,서울특별시 강북구 도봉로 196 (미아동),강북구,37.6261604,127.0265993
수유역5번출구점,"서울특별시 강북구 도봉로 315 (수유동, 에피소드 수유 838)",강북구,37.6369286,127.0233101
파라스파라서울점,서울특별시 강북구 삼양로 689 (우이동) 파라스파라서울 지하1층,강북구,37.6649461,127.0076861
발산역사거리점,서울특별시 강서구 공항대로 248 (마곡동),강서구,37.5584039,126.8348939
마곡역점,서울특별시 강서구 공항대로 168 (마곡동),강서구,37.5593086,126.8261754
우장산역점,서울특별시 강서구 강서로 267 (내발산동),강서구,37.5496059,126.835939
마곡사이언스타워R점,서울특별시 강서구 마곡동로 62 (마곡동),강서구,37.5605538,126.8338901
방화DT점,서울특별시 강서구 방화대로 375 (방화동),강서구,37.5744365,126.8163804
마곡나루역점,서울특별시 강서구 마곡중앙로 161-17 (마곡동),강서구,37.5680581,126.8259608
마곡GMG점,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호",강서구,37.5603973,126.8290307
가양역점,서울특별시 강서구 양천로 476 (등촌동),강서구,37.5616037,126.8532854
화곡DT점,서울특별시 강서구 등촌로 57 (화곡동),강서구,37.5350126,126.863143
양천향교역점,서울특별시 강서구 강서로 463 (마곡동),강서구,37.5669502,126.8404559
