고급휘발유,보통휘발유,경유,실내등유,상표 URL,주유소 이름,세차장,충전소,경정비,편의점,24시영업,주소,상표
1919,1719,1699,False,https://www.opinet.co.kr/images/user/com/icon_gs.gif,지에스칼텍스㈜ 은마주유소,True,False,True,False,False,서울 강남구 영동대로 235,GS칼텍스
1899,1719,1638,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,HD현대오일뱅크㈜직영 강남셀프주유소,True,False,False,False,False,서울 강남구 도곡로 208,HD현대오일뱅크
1899,1719,1638,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,오일프러스 셀프,True,False,True,False,True,서울 강남구 남부순환로 2651 (도곡동),SK에너지
1928,1728,1589,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,(주)보성 세곡주유소,True,False,False,False,False,서울 강남구 헌릉로 731 (세곡동),SK에너지
False,1737,1609,False,https://www.opinet.co.kr/images/user/com/icon_gs.gif,방죽주유소,True,False,False,False,False,서울 강남구 밤고개로 215 (율현동),GS칼텍스
1879,1739,1638,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,HD현대오일뱅크㈜직영 도곡셀프주유소,True,False,True,False,False,서울 강남구 남부순환로 2718,HD현대오일뱅크
1969,1748,1618,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,HD현대오일뱅크㈜직영 산성셀프주유소,True,False,False,False,False,서울 강남구 헌릉로 730,HD현대오일뱅크
1914,1749,1653,1640,https://www.opinet.co.kr/images/user/com/icon_hy.gif,HD현대오일뱅크㈜직영 유진주유소,True,False,True,False,False,서울 강남구 논현로 152 (도곡동),HD현대오일뱅크
1944,1764,1658,False,https://www.opinet.co.kr/images/user/com/icon_soil.gif,(주)선진도곡주유소,True,False,True,False,False,서울 강남구 도곡로 162 (도곡동),S-OIL
2398,1768,1898,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,HD현대오일뱅크㈜직영 신사현대주유소,True,False,False,False,False,서울 강남구 도산대로 163 (신사동),HD현대오일뱅크
False,1778,1657,False,https://www.opinet.co.kr/images/user/com/icon_soil.gif,일원주유소,False,False,False,False,False,서울 강남구 양재대로55길 3 (일원동),S-OIL
False,1778,1642,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,자곡셀프주유소,True,False,False,False,False,서울 강남구 밤고개로 120 (자곡동),SK에너지
1997,1778,1657,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,(주)중앙에너비스 수서지점,True,False,False,False,False,서울 강남구 광평로 202 (수서동),SK에너지
1990,1795,1695,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,SK서광주유소,True,False,True,False,True,서울 강남구 역삼로 142,SK에너지
2025,1805,1655,False,https://www.opinet.co.kr/images/user/com/icon_soil.gif,극동유화㈜ 개나리주유소,True,False,True,False,True,서울 강남구 언주로 423 (역삼동),S-OIL
